Control.task.start_produce,x0,num_restarts,input_name,Grammatical_WM_P.C2.confidence_threshold,syntactic_complexity_mean,syntactic_complexity_std,utterance_length_mean,utterance_length_std,active,passive,total_constructions,produced
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.5,0.763762615826,0,1,10,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.33333333333,0.7453559925,1,0,10,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.5,0.763762615826,0,1,10,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.4,0.8,0,1,9,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.4,0.8,0,1,9,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.103174603175,0.146557026291,2.16666666667,1.86338998125,1,0,14,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.5,0.763762615826,0,1,10,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.08,0.16,1.0,0.0,1,0,9,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.33333333333,0.7453559925,1,0,10,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.0,0.0,1,0,8,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.0833333333333,0.144337567297,1.5,0.866025403784,0,0,6,True
