seed,input_rate,max_time,num_restarts,deact_weight,time_pressure,act_rest,input_name,sub_threshold,coop_weight,k,tau,comp_weight,coop_asymmetry,prune_threshold,start_produce,num_restarts,noise_std,ext_weight,conf_threshold,utterance_intervals,cxn_usage_count,syntactic_complexity,utterance_lengths,requested_info,max_BLEU_score,utterance
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1.0,1,2.0,10.0,0.3,nan,6.0,0.333333333333,4.0,nan,1.0,<START><1003>young woman punch man<END>
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1.0,1,1.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1.0,1,1.0,10.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1003>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1.0,1,2.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1.0,1,2.0,10.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1003>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1.0,1,1.0,1.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1125>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1.0,1,1.0,10.0,0.3,nan,6.0,0.333333333333,4.0,nan,1.0,<START><1003>young woman punch man<END>
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1.0,1,2.0,1.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1240>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1.0,1,2.0,10.0,0.3,nan,6.0,0.333333333333,4.0,nan,1.0,<START><1003>young lady punch man<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,6.0,0.333333333333,4.0,nan,1.0,<START><1003>young woman punch man<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1003>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1003>man is punch -ed by young lady<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1003>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1003>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,6.0,0.333333333333,4.0,nan,1.0,<START><1003>young woman punch man<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1003>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1003>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1125>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,6.0,0.333333333333,4.0,nan,1.0,<START><1003>young woman punch man<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,6.0,0.333333333333,7.0,nan,1.0,<START><1240>man is punch -ed by young woman<END>
378948134,100,2000,1,0.0,1.0,0.001,young_woman_punch_man_dyn,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,6.0,0.333333333333,4.0,nan,1.0,<START><1003>young lady punch man<END>
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,young_woman_punch_man_dyn,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
